"ensembl_transcript_id","symbol","exp","chromosome_name","ensembl_gene_id","external_gene_name","transcript_length","gene_biotype","transcript_biotype","num_exons"
"ENST00000256538","DPH6-201","Downregulated","15","ENSG00000134146","DPH6",2098,"protein_coding","protein_coding",9
"ENST00000256544","KATNBL1-201","Downregulated","15","ENSG00000134152","KATNBL1",2740,"protein_coding","protein_coding",10
"ENST00000256545","EMC7-201","Downregulated","15","ENSG00000134153","EMC7",1069,"protein_coding","protein_coding",5
"ENST00000256594","GSTM3-201","Upregulated","1","ENSG00000134202","GSTM3",4046,"protein_coding","protein_coding",8
"ENST00000256682","ARF3-201","Upregulated","12","ENSG00000134287","ARF3",4041,"protein_coding","protein_coding",5
"ENST00000256689","SLC38A2-201","Downregulated","12","ENSG00000134294","SLC38A2",4795,"protein_coding","protein_coding",16
"ENST00000256722","CMPK2-201","Downregulated","2","ENSG00000134326","CMPK2",3095,"protein_coding","protein_coding",5
"ENST00000256733","SAA2-201","Upregulated","11","ENSG00000134339","SAA2",576,"protein_coding","protein_coding",4
"ENST00000257013","RTL8C-201","Upregulated","X","ENSG00000134590","RTL8C",1192,"protein_coding","protein_coding",1
"ENST00000257181","PRPF38A-201","Upregulated","1","ENSG00000134748","PRPF38A",5233,"protein_coding","protein_coding",10
"ENST00000257247","AHNAK-201","Downregulated","11","ENSG00000124942","AHNAK",1024,"protein_coding","protein_coding",6
"ENST00000257264","TCN1-201","Downregulated","11","ENSG00000134827","TCN1",1486,"protein_coding","protein_coding",9
"ENST00000257570","OASL-201","Downregulated","12","ENSG00000135114","OASL",3270,"protein_coding","protein_coding",6
"ENST00000257572","HRK-201","Downregulated","12","ENSG00000135116","HRK",5789,"protein_coding","protein_coding",2
"ENST00000257694","PNPLA8-201","Downregulated","7","ENSG00000135241","PNPLA8",4569,"protein_coding","protein_coding",11
"ENST00000257696","HILPDA-201","Upregulated","7","ENSG00000135245","HILPDA",1364,"protein_coding","protein_coding",2
"ENST00000257700","RINT1-201","Downregulated","7","ENSG00000135249","RINT1",2860,"protein_coding","protein_coding",15
"ENST00000257765","KHDC1-201","Upregulated","6","ENSG00000135314","KHDC1",1146,"protein_coding","protein_coding",4
"ENST00000257836","PRRG4-201","Downregulated","11","ENSG00000135378","PRRG4",5543,"protein_coding","protein_coding",6
"ENST00000257895","RDH5-201","Upregulated","12","ENSG00000135437","RDH5",1274,"protein_coding","protein_coding",5
"ENST00000257909","TROAP-201","Upregulated","12","ENSG00000135451","TROAP",2551,"protein_coding","protein_coding",15
"ENST00000257910","TSPAN31-201","Upregulated","12","ENSG00000135452","TSPAN31",3678,"protein_coding","protein_coding",6
"ENST00000257966","OS9-201","Upregulated","12","ENSG00000135506","OS9",2809,"protein_coding","protein_coding",14
"ENST00000258052","SMPD2-201","Upregulated","6","ENSG00000135587","SMPD2",1684,"protein_coding","protein_coding",10
"ENST00000258080","HTRA2-201","Upregulated","2","ENSG00000115317","HTRA2",1785,"protein_coding","protein_coding",8
"ENST00000258091","CCT7-201","Upregulated","2","ENSG00000135624","CCT7",1847,"protein_coding","protein_coding",12
"ENST00000258105","MRPL53-201","Upregulated","2","ENSG00000204822","MRPL53",496,"protein_coding","protein_coding",3
"ENST00000258111","KCNMB4-201","Downregulated","12","ENSG00000135643","KCNMB4",4717,"protein_coding","protein_coding",3
"ENST00000258145","GNS-201","Downregulated","12","ENSG00000135677","GNS",5081,"protein_coding","protein_coding",14
"ENST00000258169","MPHOSPH6-201","Downregulated","16","ENSG00000135698","MPHOSPH6",1101,"protein_coding","protein_coding",5
"ENST00000258200","FBXL8-201","Upregulated","16","ENSG00000135722","FBXL8",1630,"protein_coding","protein_coding",3
"ENST00000258362","PNKD-202","Upregulated","2","ENSG00000127838","PNKD",2991,"protein_coding","protein_coding",9
"ENST00000258415","CYP27A1-201","Downregulated","2","ENSG00000135929","CYP27A1",1895,"protein_coding","protein_coding",9
"ENST00000258416","EIF4E2-201","Upregulated","2","ENSG00000135930","EIF4E2",967,"protein_coding","protein_coding",7
"ENST00000258424","COX5B-201","Upregulated","2","ENSG00000135940","COX5B",690,"protein_coding","protein_coding",4
"ENST00000258455","MRPS9-201","Upregulated","2","ENSG00000135972","MRPS9",1414,"protein_coding","protein_coding",11
"ENST00000258457","C2orf49-201","Downregulated","2","ENSG00000135974","C2orf49",4587,"protein_coding","protein_coding",4
"ENST00000258534","DRAM1-201","Downregulated","12","ENSG00000136048","DRAM1",3279,"protein_coding","protein_coding",7
"ENST00000258662","NUDT15-201","Upregulated","13","ENSG00000136159","NUDT15",1938,"protein_coding","protein_coding",3
"ENST00000258742","NUP42-201","Downregulated","7","ENSG00000136243","NUP42",1571,"protein_coding","protein_coding",7
"ENST00000258774","HUS1-201","Downregulated","7","ENSG00000136273","HUS1",3007,"protein_coding","protein_coding",8
"ENST00000258781","CCM2-201","Downregulated","7","ENSG00000136280","CCM2",1864,"protein_coding","protein_coding",10
"ENST00000258821","TTC5-201","Upregulated","14","ENSG00000136319","TTC5",4737,"protein_coding","protein_coding",10
"ENST00000258874","MTHFS-201","Upregulated","15","ENSG00000136371","MTHFS",2301,"protein_coding","protein_coding",3
"ENST00000258886","IREB2-201","Downregulated","15","ENSG00000136381","IREB2",6324,"protein_coding","protein_coding",22
"ENST00000258962","SRSF1-201","Downregulated","17","ENSG00000136450","SRSF1",5343,"protein_coding","protein_coding",4
"ENST00000259021","KAT7-201","Upregulated","17","ENSG00000136504","KAT7",9514,"protein_coding","protein_coding",15
"ENST00000259030","RTP4-201","Downregulated","3","ENSG00000136514","RTP4",1501,"protein_coding","protein_coding",2
"ENST00000259053","CD302-201","Upregulated","2","ENSG00000241399","CD302",3932,"protein_coding","protein_coding",6
"ENST00000259075","TANK-201","Upregulated","2","ENSG00000136560","TANK",2152,"protein_coding","protein_coding",8
"ENST00000259229","VMA22-201","Upregulated","2","ENSG00000136710","VMA22",1769,"protein_coding","protein_coding",5
"ENST00000259392","SLC31A2-201","Downregulated","9","ENSG00000136867","SLC31A2",1723,"protein_coding","protein_coding",4
"ENST00000259526","CCN3-201","Downregulated","8","ENSG00000136999","CCN3",2463,"protein_coding","protein_coding",5
"ENST00000259632","DCTN3-201","Upregulated","9","ENSG00000137100","DCTN3",828,"protein_coding","protein_coding",7
"ENST00000259667","HINT2-201","Upregulated","9","ENSG00000137133","HINT2",649,"protein_coding","protein_coding",5
"ENST00000259873","MRPS18B-206","Upregulated","6","ENSG00000204568","MRPS18B",1398,"protein_coding","protein_coding",7
"ENST00000259895","GTF2H4-201","Upregulated","6","ENSG00000213780","GTF2H4",1712,"protein_coding","protein_coding",14
"ENST00000260118","GGH-201","Downregulated","8","ENSG00000137563","GGH",1248,"protein_coding","protein_coding",9
"ENST00000260227","MMP7-201","Upregulated","11","ENSG00000137673","MMP7",1119,"protein_coding","protein_coding",6
"ENST00000260247","DCUN1D5-201","Downregulated","11","ENSG00000137692","DCUN1D5",12675,"protein_coding","protein_coding",8
"ENST00000260270","FDX1-201","Downregulated","11","ENSG00000137714","FDX1",3144,"protein_coding","protein_coding",4
"ENST00000260276","CFAP68-201","Upregulated","11","ENSG00000137720","CFAP68",2568,"protein_coding","protein_coding",4
"ENST00000260287","FXYD2-201","Upregulated","11","ENSG00000137731","FXYD2",513,"protein_coding","protein_coding",6
"ENST00000260302","MMP13-201","Downregulated","11","ENSG00000137745","MMP13",2714,"protein_coding","protein_coding",10
"ENST00000260361","NDUFAF1-201","Downregulated","15","ENSG00000137806","NDUFAF1",1509,"protein_coding","protein_coding",5
"ENST00000260372","HAUS2-201","Downregulated","15","ENSG00000137814","HAUS2",3921,"protein_coding","protein_coding",6
"ENST00000260379","RPLP1-201","Upregulated","15","ENSG00000137818","RPLP1",1174,"protein_coding","protein_coding",4
"ENST00000260442","BCL2L10-201","Downregulated","15","ENSG00000137875","BCL2L10",1249,"protein_coding","protein_coding",2
"ENST00000260447","GCHFR-201","Upregulated","15","ENSG00000137880","GCHFR",727,"protein_coding","protein_coding",3
"ENST00000260508","KYAT3-201","Upregulated","1","ENSG00000137944","KYAT3",1815,"protein_coding","protein_coding",14
"ENST00000260641","ACTR2-201","Downregulated","2","ENSG00000138071","ACTR2",3783,"protein_coding","protein_coding",9
"ENST00000260743","CALHM2-201","Downregulated","10","ENSG00000138172","CALHM2",1914,"protein_coding","protein_coding",4
"ENST00000260746","ARL3-201","Downregulated","10","ENSG00000138175","ARL3",3834,"protein_coding","protein_coding",6
"ENST00000260803","DBR1-201","Downregulated","3","ENSG00000138231","DBR1",2662,"protein_coding","protein_coding",8
"ENST00000260843","GPR87-201","Downregulated","3","ENSG00000138271","GPR87",1493,"protein_coding","protein_coding",3
"ENST00000260952","ASNSD1-201","Downregulated","2","ENSG00000138381","ASNSD1",2411,"protein_coding","protein_coding",6
"ENST00000261017","ABI2-202","Upregulated","2","ENSG00000138443","ABI2",6484,"protein_coding","protein_coding",10
"ENST00000261024","SLC40A1-201","Downregulated","2","ENSG00000138449","SLC40A1",3330,"protein_coding","protein_coding",8
"ENST00000261234","RXYLT1-201","Downregulated","12","ENSG00000118600","RXYLT1",1854,"protein_coding","protein_coding",6
"ENST00000261245","MNAT1-201","Downregulated","14","ENSG00000020426","MNAT1",2648,"protein_coding","protein_coding",8
"ENST00000261249","TRMT5-201","Downregulated","14","ENSG00000126814","TRMT5",5304,"protein_coding","protein_coding",5
"ENST00000261292","LIPG-201","Downregulated","18","ENSG00000101670","LIPG",10418,"protein_coding","protein_coding",10
"ENST00000261303","PSMC1-201","Downregulated","14","ENSG00000100764","PSMC1",4390,"protein_coding","protein_coding",11
"ENST00000261304","GALC-201","Downregulated","14","ENSG00000054983","GALC",3794,"protein_coding","protein_coding",17
"ENST00000261308","PPWD1-201","Downregulated","5","ENSG00000113593","PPWD1",2109,"protein_coding","protein_coding",11
"ENST00000261353","YPEL5-201","Downregulated","2","ENSG00000119801","YPEL5",2136,"protein_coding","protein_coding",3
"ENST00000261416","HEXB-201","Downregulated","5","ENSG00000049860","HEXB",1812,"protein_coding","protein_coding",14
"ENST00000261455","PACC1-201","Downregulated","1","ENSG00000065600","PACC1",2469,"protein_coding","protein_coding",8
"ENST00000261479","PSMA6-201","Upregulated","14","ENSG00000100902","PSMA6",1023,"protein_coding","protein_coding",7
"ENST00000261489","TSC22D1-201","Upregulated","13","ENSG00000102804","TSC22D1",3148,"protein_coding","protein_coding",3
"ENST00000261499","B9D1-201","Upregulated","17","ENSG00000108641","B9D1",913,"protein_coding","protein_coding",7
"ENST00000261531","SNW1-201","Downregulated","14","ENSG00000100603","SNW1",2129,"protein_coding","protein_coding",14
"ENST00000261558","AP5M1-201","Downregulated","14","ENSG00000053770","AP5M1",11675,"protein_coding","protein_coding",8
"ENST00000261560","ZNF430-201","Downregulated","19","ENSG00000118620","ZNF430",3886,"protein_coding","protein_coding",5
"ENST00000261597","NDC80-201","Downregulated","18","ENSG00000080986","NDC80",2126,"protein_coding","protein_coding",17
"ENST00000261600","THOC1-201","Downregulated","18","ENSG00000079134","THOC1",2108,"protein_coding","protein_coding",21
"ENST00000261601","USP14-201","Downregulated","18","ENSG00000101557","USP14",4972,"protein_coding","protein_coding",16
"ENST00000261623","CYBA-201","Upregulated","16","ENSG00000051523","CYBA",692,"protein_coding","protein_coding",6
"ENST00000261700","RTRAF-201","Downregulated","14","ENSG00000087302","RTRAF",7007,"protein_coding","protein_coding",8
"ENST00000261714","BLMH-201","Downregulated","17","ENSG00000108578","BLMH",2307,"protein_coding","protein_coding",12
"ENST00000261721","BTBD1-201","Downregulated","15","ENSG00000064726","BTBD1",3194,"protein_coding","protein_coding",8
"ENST00000261733","ALDH2-201","Upregulated","12","ENSG00000111275","ALDH2",9561,"protein_coding","protein_coding",13
"ENST00000261735","ERP29-201","Upregulated","12","ENSG00000089248","ERP29",1623,"protein_coding","protein_coding",3
"ENST00000261758","MESD-201","Downregulated","15","ENSG00000117899","MESD",4200,"protein_coding","protein_coding",3
"ENST00000261783","ARG2-201","Downregulated","14","ENSG00000081181","ARG2",1911,"protein_coding","protein_coding",8
"ENST00000261798","CSNK1A1-201","Downregulated","5","ENSG00000113712","CSNK1A1",5444,"protein_coding","protein_coding",11
"ENST00000261813","PFDN1-201","Upregulated","5","ENSG00000113068","PFDN1",1336,"protein_coding","protein_coding",4
"ENST00000261817","PSMD9-201","Upregulated","12","ENSG00000110801","PSMD9",2307,"protein_coding","protein_coding",6
"ENST00000261819","ANAPC5-201","Upregulated","12","ENSG00000089053","ANAPC5",2574,"protein_coding","protein_coding",17
"ENST00000261854","SPPL2A-201","Downregulated","15","ENSG00000138600","SPPL2A",7270,"protein_coding","protein_coding",15
"ENST00000261868","EIF3J-201","Downregulated","15","ENSG00000104131","EIF3J",2479,"protein_coding","protein_coding",8
"ENST00000261875","HACD3-201","Downregulated","15","ENSG00000074696","HACD3",3228,"protein_coding","protein_coding",11
"ENST00000261879","APH1B-201","Downregulated","15","ENSG00000138613","APH1B",4138,"protein_coding","protein_coding",6
"ENST00000261880","AAGAB-201","Downregulated","15","ENSG00000103591","AAGAB",3132,"protein_coding","protein_coding",10
"ENST00000261881","TIPIN-201","Downregulated","15","ENSG00000075131","TIPIN",1728,"protein_coding","protein_coding",8
"ENST00000261893","LACTB-201","Downregulated","15","ENSG00000103642","LACTB",1911,"protein_coding","protein_coding",6
"ENST00000262031","RBMS2-201","Upregulated","12","ENSG00000076067","RBMS2",8488,"protein_coding","protein_coding",14
"ENST00000262033","PTGES3-201","Downregulated","12","ENSG00000110958","PTGES3",1898,"protein_coding","protein_coding",8
"ENST00000262053","ATF1-201","Downregulated","12","ENSG00000123268","ATF1",2412,"protein_coding","protein_coding",7
"ENST00000262065","MMD-201","Upregulated","17","ENSG00000108960","MMD",2569,"protein_coding","protein_coding",7
"ENST00000262067","TSPAN13-201","Downregulated","7","ENSG00000106537","TSPAN13",1873,"protein_coding","protein_coding",6
"ENST00000262120","TWSG1-201","Downregulated","18","ENSG00000128791","TWSG1",3750,"protein_coding","protein_coding",5
"ENST00000262124","SEH1L-201","Upregulated","18","ENSG00000085415","SEH1L",3494,"protein_coding","protein_coding",9
"ENST00000262139","WIPI1-201","Downregulated","17","ENSG00000070540","WIPI1",1908,"protein_coding","protein_coding",13
"ENST00000262146","MTFR1-201","Downregulated","8","ENSG00000066855","MTFR1",2651,"protein_coding","protein_coding",8
"ENST00000262177","DNAJB6-201","Downregulated","7","ENSG00000105993","DNAJB6",2489,"protein_coding","protein_coding",10
"ENST00000262193","PSMB1-201","Upregulated","6","ENSG00000008018","PSMB1",891,"protein_coding","protein_coding",6
"ENST00000262197","RBFA-201","Upregulated","18","ENSG00000101546","RBFA",1219,"protein_coding","protein_coding",6
"ENST00000262213","TRAM1-201","Downregulated","8","ENSG00000067167","TRAM1",3056,"protein_coding","protein_coding",11
"ENST00000262225","TMED2-201","Downregulated","12","ENSG00000086598","TMED2",2544,"protein_coding","protein_coding",4
"ENST00000262265","PIH1D1-201","Upregulated","19","ENSG00000104872","PIH1D1",1197,"protein_coding","protein_coding",9
"ENST00000262306","ELOB-201","Upregulated","16","ENSG00000103363","ELOB",582,"protein_coding","protein_coding",5
"ENST00000262394","WSB1-201","Downregulated","17","ENSG00000109046","WSB1",5105,"protein_coding","protein_coding",9
"ENST00000262428","COTL1-201","Downregulated","16","ENSG00000103187","COTL1",1842,"protein_coding","protein_coding",4
"ENST00000262498","CFAP20-201","Upregulated","16","ENSG00000070761","CFAP20",1281,"protein_coding","protein_coding",6
"ENST00000262507","COQ9-201","Upregulated","16","ENSG00000088682","COQ9",1630,"protein_coding","protein_coding",9
"ENST00000262580","GSDMD-201","Upregulated","8","ENSG00000104518","GSDMD",1723,"protein_coding","protein_coding",11
"ENST00000262584","RPL8-201","Upregulated","8","ENSG00000161016","RPL8",1041,"protein_coding","protein_coding",6
"ENST00000262605","TTPAL-201","Downregulated","20","ENSG00000124120","TTPAL",6224,"protein_coding","protein_coding",5
"ENST00000262613","NHERF1-201","Downregulated","17","ENSG00000109062","NHERF1",1993,"protein_coding","protein_coding",6
"ENST00000262646","RAB2A-201","Upregulated","8","ENSG00000104388","RAB2A",3735,"protein_coding","protein_coding",8
"ENST00000262764","PGS1-201","Upregulated","17","ENSG00000087157","PGS1",2297,"protein_coding","protein_coding",10
"ENST00000262768","TIMP2-201","Upregulated","17","ENSG00000035862","TIMP2",3652,"protein_coding","protein_coding",5
"ENST00000262812","COPE-201","Upregulated","19","ENSG00000105669","COPE",1131,"protein_coding","protein_coding",10
"ENST00000262890","PAFAH1B3-201","Upregulated","19","ENSG00000079462","PAFAH1B3",1054,"protein_coding","protein_coding",5
"ENST00000262932","CNPY4-201","Downregulated","7","ENSG00000166997","CNPY4",1478,"protein_coding","protein_coding",6
"ENST00000262942","ARPC1A-201","Downregulated","7","ENSG00000241685","ARPC1A",1582,"protein_coding","protein_coding",10
"ENST00000262947","MYDGF-201","Downregulated","19","ENSG00000074842","MYDGF",990,"protein_coding","protein_coding",6
"ENST00000262960","DPP9-201","Downregulated","19","ENSG00000142002","DPP9",4273,"protein_coding","protein_coding",22
"ENST00000263025","MAPK3-201","Upregulated","16","ENSG00000102882","MAPK3",1787,"protein_coding","protein_coding",9
"ENST00000263038","PHYH-201","Downregulated","10","ENSG00000107537","PHYH",1541,"protein_coding","protein_coding",9
"ENST00000263202","UFD1-201","Downregulated","22","ENSG00000070010","UFD1",1791,"protein_coding","protein_coding",12
"ENST00000263212","PPM1F-201","Downregulated","22","ENSG00000100034","PPM1F",5149,"protein_coding","protein_coding",8
"ENST00000263228","UBE2R2-201","Upregulated","9","ENSG00000107341","UBE2R2",4477,"protein_coding","protein_coding",5
"ENST00000263245","ARFGAP3-201","Downregulated","22","ENSG00000242247","ARFGAP3",2728,"protein_coding","protein_coding",16
"ENST00000263270","AP2S1-201","Upregulated","19","ENSG00000042753","AP2S1",789,"protein_coding","protein_coding",5
"ENST00000263278","HSD17B14-201","Downregulated","19","ENSG00000087076","HSD17B14",1050,"protein_coding","protein_coding",9
"ENST00000263326","IL37-201","Upregulated","2","ENSG00000125571","IL37",864,"protein_coding","protein_coding",6
"ENST00000263341","IL1B-201","Upregulated","2","ENSG00000125538","IL1B",1507,"protein_coding","protein_coding",7
"ENST00000263346","TCF25-201","Upregulated","16","ENSG00000141002","TCF25",2248,"protein_coding","protein_coding",18
"ENST00000263354","NAPA-201","Upregulated","19","ENSG00000105402","NAPA",1662,"protein_coding","protein_coding",11
"ENST00000263360","EED-201","Downregulated","11","ENSG00000074266","EED",2088,"protein_coding","protein_coding",12
"ENST00000263370","ITPKC-201","Upregulated","19","ENSG00000086544","ITPKC",3376,"protein_coding","protein_coding",7
"ENST00000263398","CD44-201","Downregulated","11","ENSG00000026508","CD44",4288,"protein_coding","protein_coding",9
"ENST00000263559","VPS26A-201","Downregulated","10","ENSG00000122958","VPS26A",4227,"protein_coding","protein_coding",9
"ENST00000263579","DCPS-201","Upregulated","11","ENSG00000110063","DCPS",5427,"protein_coding","protein_coding",6
"ENST00000263645","CD81-201","Upregulated","11","ENSG00000110651","CD81",1482,"protein_coding","protein_coding",8
"ENST00000263702","MECR-201","Upregulated","1","ENSG00000116353","MECR",2515,"protein_coding","protein_coding",10
"ENST00000263734","EPAS1-201","Downregulated","2","ENSG00000116016","EPAS1",5155,"protein_coding","protein_coding",16
"ENST00000263774","NDUFS3-201","Upregulated","11","ENSG00000213619","NDUFS3",894,"protein_coding","protein_coding",7
"ENST00000263776","ACCS-201","Upregulated","11","ENSG00000110455","ACCS",2383,"protein_coding","protein_coding",15
"ENST00000263856","CHMP3-201","Downregulated","2","ENSG00000115561","CHMP3",3138,"protein_coding","protein_coding",6
"ENST00000263864","VAMP8-201","Upregulated","2","ENSG00000118640","VAMP8",679,"protein_coding","protein_coding",3
"ENST00000263867","CAPG-201","Upregulated","2","ENSG00000042493","CAPG",1250,"protein_coding","protein_coding",10
"ENST00000263904","STAM2-201","Downregulated","2","ENSG00000115145","STAM2",5472,"protein_coding","protein_coding",14
"ENST00000263915","GRB14-201","Upregulated","2","ENSG00000115290","GRB14",2415,"protein_coding","protein_coding",14
"ENST00000263960","COQ10B-201","Downregulated","2","ENSG00000115520","COQ10B",2112,"protein_coding","protein_coding",5
"ENST00000264001","CKLF-201","Upregulated","16","ENSG00000217555","CKLF",656,"protein_coding","protein_coding",4
"ENST00000264012","CDH3-201","Downregulated","16","ENSG00000062038","CDH3",4452,"protein_coding","protein_coding",16
"ENST00000264021","IFT46-202","Upregulated","11","ENSG00000118096","IFT46",1562,"protein_coding","protein_coding",12
"ENST00000264027","SC5D-201","Downregulated","11","ENSG00000109929","SC5D",6854,"protein_coding","protein_coding",5
"ENST00000264028","ARCN1-201","Downregulated","11","ENSG00000095139","ARCN1",3994,"protein_coding","protein_coding",10
"ENST00000264036","MCAM-201","Downregulated","11","ENSG00000076706","MCAM",3327,"protein_coding","protein_coding",16
"ENST00000264039","GPC1-201","Downregulated","2","ENSG00000063660","GPC1",3719,"protein_coding","protein_coding",9
"ENST00000264093","DGUOK-201","Upregulated","2","ENSG00000114956","DGUOK",1075,"protein_coding","protein_coding",7
"ENST00000264108","HAT1-201","Downregulated","2","ENSG00000128708","HAT1",1634,"protein_coding","protein_coding",11
"ENST00000264169","ORC4-201","Downregulated","2","ENSG00000115947","ORC4",6598,"protein_coding","protein_coding",14
"ENST00000264170","KYNU-201","Downregulated","2","ENSG00000115919","KYNU",15151,"protein_coding","protein_coding",14
"ENST00000264218","NMU-201","Upregulated","4","ENSG00000109255","NMU",816,"protein_coding","protein_coding",10
"ENST00000264230","NOA1-201","Upregulated","4","ENSG00000084092","NOA1",2218,"protein_coding","protein_coding",7
"ENST00000264235","GSK3B-201","Downregulated","3","ENSG00000082701","GSK3B",7743,"protein_coding","protein_coding",11
"ENST00000264255","TXNDC9-201","Downregulated","2","ENSG00000115514","TXNDC9",1508,"protein_coding","protein_coding",5
"ENST00000264258","RPL31-201","Upregulated","2","ENSG00000071082","RPL31",1291,"protein_coding","protein_coding",5
"ENST00000264265","LXN-201","Downregulated","3","ENSG00000079257","LXN",1071,"protein_coding","protein_coding",6
"ENST00000264279","NOP58-201","Downregulated","2","ENSG00000055044","NOP58",1994,"protein_coding","protein_coding",15
"ENST00000264428","GLRB-201","Upregulated","4","ENSG00000109738","GLRB",3033,"protein_coding","protein_coding",10
"ENST00000264454","SEC22C-201","Downregulated","3","ENSG00000093183","SEC22C",6340,"protein_coding","protein_coding",7
"ENST00000264474","CSTA-201","Downregulated","3","ENSG00000121552","CSTA",744,"protein_coding","protein_coding",3
"ENST00000264553","GZMM-201","Upregulated","19","ENSG00000197540","GZMM",924,"protein_coding","protein_coding",5
"ENST00000264563","IL11-201","Downregulated","19","ENSG00000095752","IL11",2378,"protein_coding","protein_coding",5
"ENST00000264595","AGA-201","Downregulated","4","ENSG00000038002","AGA",2037,"protein_coding","protein_coding",9
"ENST00000264605","MLPH-201","Downregulated","2","ENSG00000115648","MLPH",3744,"protein_coding","protein_coding",16
"ENST00000264639","PSMD3-201","Upregulated","17","ENSG00000108344","PSMD3",2147,"protein_coding","protein_coding",12
"ENST00000264669","FASTKD3-201","Downregulated","5","ENSG00000124279","FASTKD3",2431,"protein_coding","protein_coding",7
"ENST00000264670","NSUN2-201","Downregulated","5","ENSG00000037474","NSUN2",3056,"protein_coding","protein_coding",19
"ENST00000264710","RAB10-201","Downregulated","2","ENSG00000084733","RAB10",3561,"protein_coding","protein_coding",6
"ENST00000264832","ICAM1-201","Downregulated","19","ENSG00000090339","ICAM1",2967,"protein_coding","protein_coding",7
"ENST00000264893","SEPTIN11-201","Downregulated","4","ENSG00000138758","SEPTIN11",5545,"protein_coding","protein_coding",10
"ENST00000264896","SCARB2-201","Downregulated","4","ENSG00000138760","SCARB2",4694,"protein_coding","protein_coding",12
"ENST00000264926","RAD18-201","Downregulated","3","ENSG00000070950","RAD18",5857,"protein_coding","protein_coding",13
"ENST00000264995","MRPL3-201","Downregulated","3","ENSG00000114686","MRPL3",1708,"protein_coding","protein_coding",10
"ENST00000265070","GOLPH3-201","Downregulated","5","ENSG00000113384","GOLPH3",2678,"protein_coding","protein_coding",4
"ENST00000265073","SUB1-201","Downregulated","5","ENSG00000113387","SUB1",3449,"protein_coding","protein_coding",5
"ENST00000265087","STC2-201","Downregulated","5","ENSG00000113739","STC2",4254,"protein_coding","protein_coding",4
"ENST00000265097","THOC3-201","Upregulated","5","ENSG00000051596","THOC3",1601,"protein_coding","protein_coding",6
"ENST00000265112","TARS1-201","Downregulated","5","ENSG00000113407","TARS1",2672,"protein_coding","protein_coding",19
"ENST00000265164","CASP6-201","Upregulated","4","ENSG00000138794","CASP6",1634,"protein_coding","protein_coding",7
"ENST00000265191","NME5-201","Downregulated","5","ENSG00000112981","NME5",1208,"protein_coding","protein_coding",6
"ENST00000265192","PAIP2-201","Downregulated","5","ENSG00000120727","PAIP2",1456,"protein_coding","protein_coding",4
"ENST00000265229","MRPL22-201","Upregulated","5","ENSG00000082515","MRPL22",3035,"protein_coding","protein_coding",6
"ENST00000265295","SPDL1-201","Downregulated","5","ENSG00000040275","SPDL1",2529,"protein_coding","protein_coding",12
"ENST00000265322","PECR-201","Upregulated","2","ENSG00000115425","PECR",1867,"protein_coding","protein_coding",8
"ENST00000265394","CPVL-201","Upregulated","7","ENSG00000106066","CPVL",2087,"protein_coding","protein_coding",13
"ENST00000265433","NBN-201","Downregulated","8","ENSG00000104320","NBN",4622,"protein_coding","protein_coding",16
"ENST00000265462","PRDX5-201","Upregulated","11","ENSG00000126432","PRDX5",860,"protein_coding","protein_coding",6
"ENST00000265498","MGST2-201","Upregulated","4","ENSG00000085871","MGST2",740,"protein_coding","protein_coding",5
"ENST00000265523","BLVRA-201","Downregulated","7","ENSG00000106605","BLVRA",1074,"protein_coding","protein_coding",8
"ENST00000265564","EXOSC7-201","Upregulated","3","ENSG00000075914","EXOSC7",1042,"protein_coding","protein_coding",8
"ENST00000265598","LAMP3-201","Downregulated","3","ENSG00000078081","LAMP3",3196,"protein_coding","protein_coding",6
"ENST00000265620","GNAS-201","Upregulated","20","ENSG00000087460","GNAS",1866,"protein_coding","protein_coding",12
"ENST00000265626","PMEPA1-201","Downregulated","20","ENSG00000124225","PMEPA1",4627,"protein_coding","protein_coding",4
"ENST00000265627","PON3-201","Downregulated","7","ENSG00000105852","PON3",1191,"protein_coding","protein_coding",9
"ENST00000265643","GAL-201","Upregulated","11","ENSG00000069482","GAL",749,"protein_coding","protein_coding",6
"ENST00000265651","FBXO3-201","Downregulated","11","ENSG00000110429","FBXO3",2403,"protein_coding","protein_coding",11
"ENST00000265686","TCIRG1-201","Upregulated","11","ENSG00000110719","TCIRG1",2668,"protein_coding","protein_coding",20
"ENST00000265720","DUS4L-201","Downregulated","7","ENSG00000105865","DUS4L",2266,"protein_coding","protein_coding",8
"ENST00000265728","DBF4-201","Downregulated","7","ENSG00000006634","DBF4",3655,"protein_coding","protein_coding",12
"ENST00000265753","EIF4H-201","Downregulated","7","ENSG00000106682","EIF4H",2563,"protein_coding","protein_coding",7
"ENST00000265758","BUD23-201","Upregulated","7","ENSG00000071462","BUD23",1201,"protein_coding","protein_coding",12
"ENST00000265806","R3HCC1-201","Upregulated","8","ENSG00000104679","R3HCC1",1573,"protein_coding","protein_coding",8
"ENST00000265838","ACAT1-201","Downregulated","11","ENSG00000075239","ACAT1",1537,"protein_coding","protein_coding",12
"ENST00000265866","HNRNPH3-201","Downregulated","10","ENSG00000096746","HNRNPH3",2356,"protein_coding","protein_coding",10
"ENST00000265881","REXO2-201","Downregulated","11","ENSG00000076043","REXO2",1080,"protein_coding","protein_coding",7
